"","Family","Species","Trait","Value","Source","Trait_original"
"246","Colubridae","Elaphe sauromates","Longevity_y","13.8","RepT","Maximum Longevity (years)"
"247","Colubridae","Elaphe sauromates","SVL_mm_max","1363","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"248","Colubridae","Elaphe sauromates","Substrate","Arboreal/Terrestrial","RepT","Microhabitat"
"249","Boidae","Eryx jaculus","Active_period","Nocturnal","RepT","Active time"
"250","Boidae","Eryx jaculus","Activity_season_m","6","SqB","Length_Activity_Season"
"251","Boidae","Eryx jaculus","BodyMass_max_g","254.22894959999999","RepT","Maximum body mass (g)"
"252","Boidae","Eryx jaculus","Clutch_mean","13","RepT","Mean number of offspring per litter or number of eggs per clutch"
"253","Boidae","Eryx jaculus","Diet","Carnivorous","SqB","Diet"
"254","Boidae","Eryx jaculus","First_breeding_m","36","SqB","first_breeding_months"
"255","Boidae","Eryx jaculus","Limbs","limbless","SqB","Limbs"
"256","Boidae","Eryx jaculus","Longevity_y","24.7","RepT","Maximum Longevity (years)"
"257","Boidae","Eryx jaculus","SVL_mm_max","552.5","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"258","Boidae","Eryx jaculus","Substrate","Terrestrial","RepT","Microhabitat"
"259","Scincidae","Eumeces schneiderii","Active_period","Diurnal","RepT","Active time"
"260","Scincidae","Eumeces schneiderii","Activity_season_m","7.5","SqB","Length_Activity_Season"
"261","Scincidae","Eumeces schneiderii","BodyMass_max_g","159.68249027090073","RepT","Maximum body mass (g)"
"262","Scincidae","Eumeces schneiderii","BodyTemp_mean","33.1","RepT","Mean Tb"
"263","Scincidae","Eumeces schneiderii","Brood_per_year","1","SqB","Yearly_broods"
"264","Scincidae","Eumeces schneiderii","Clutch_mean","11","RepT","Mean number of offspring per litter or number of eggs per clutch"
"265","Scincidae","Eumeces schneiderii","Diet","Omnivorous","RepT","Diet"
"266","Scincidae","Eumeces schneiderii","First_breeding_m","33","SqB","first_breeding_months"
"267","Scincidae","Eumeces schneiderii","Limbs","4 well developed limbs","SqB","Limbs"
"268","Scincidae","Eumeces schneiderii","Longevity_y","22","SqB","Maximum Longevity (years)"
"269","Scincidae","Eumeces schneiderii","SVL_mm_max","186","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"270","Scincidae","Eumeces schneiderii","Substrate","Terrestrial","RepT","Microhabitat"
"271","Lacertidae","Hellenolacerta graeca","Active_period","Diurnal","RepT","Active time"
"272","Lacertidae","Hellenolacerta graeca","Activity_season_m","7.5","SqB","Length_Activity_Season"
"273","Lacertidae","Hellenolacerta graeca","BodyMass_max_g","14.12537545","RepT","Maximum body mass (g)"
"274","Lacertidae","Hellenolacerta graeca","BodyTemp_mean","31.35","RepT","Mean Tb"
"275","Lacertidae","Hellenolacerta graeca","Brood_per_year","1","AMN","litters_or_clutches_per_y"
"276","Lacertidae","Hellenolacerta graeca","Clutch_mean","3.5","RepT","Mean number of offspring per litter or number of eggs per clutch"
"277","Lacertidae","Hellenolacerta graeca","Diet","Carnivorous","RepT","Diet"
"278","Lacertidae","Hellenolacerta graeca","Limbs","4 well developed limbs","SqB","Limbs"
"279","Lacertidae","Hellenolacerta graeca","SVL_mm_max","85","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"280","Lacertidae","Hellenolacerta graeca","Substrate","Arboreal/Saxicolous","RepT","Microhabitat"
